author,dynasty,label,name,poetry
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='周晋'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='宋代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='清平乐·图书一室'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n图书一室。香暖垂帘密。花满翠壶熏研席。睡觉满窗晴日。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='手寒不了残棋。篝香细勘唐碑。无酒无诗情绪，欲梅欲雪天时。\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='王昌龄'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='唐代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='从军行七首·其四'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n青海长云暗雪山，孤城遥望玉门关。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='黄沙百战穿金甲，不破楼兰终不还。\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='苏轼'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='宋代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='水龙吟·露寒烟冷蒹葭老'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n露寒烟冷蒹葭老，天外征鸿寥唳。银河秋晚，长门灯悄，一声初至。应念潇湘，岸遥人静'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='须信衡阳万里，有谁家、锦书遥寄。万重云外，斜行横阵，才疏又缀。仙掌月明，石头城下'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='钱惟演'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='宋代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='对竹思鹤'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n瘦玉萧萧伊水头，风宜清夜露宜秋。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='更教仙骥旁边立，尽是人间第一流。\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='高适'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='唐代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='营州歌'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n营州少年厌原野，狐裘蒙茸猎城下。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='虏酒千钟不醉人，胡儿十岁能骑马。\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='佚名'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='先秦'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='小旻'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='孟浩然'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='唐代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='田园作'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n弊庐隔尘喧，惟先养恬素。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='卜邻近三径，植果盈千树。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='粤余任推迁，三十犹未遇。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='书剑时将晚，丘园日已暮。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='晨兴自多怀，昼坐常寡悟。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='冲天羡鸿鹄，争食羞鸡鹜。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='望断金马门，劳歌采樵路。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='乡曲无知己，朝端乏亲故。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='谁能为扬雄，一荐甘泉赋。\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='苏轼'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='宋代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='少年游·玉肌铅粉傲秋霜'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='岑参'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='唐代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='送王大昌龄赴江宁'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n对酒寂不语，怅然悲送君。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='明时未得用，白首徒攻文。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='泽国从一官，沧波几千里。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='群公满天阙，独去过淮水。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='旧家富春渚，尝忆卧江楼。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='自闻君欲行，频望南徐州。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='穷巷独闭门，寒灯静深屋。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='北风吹微雪，抱被肯同宿。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='君行到京口，正是桃花时。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='舟中饶孤兴，湖上多新诗。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='潜虬且深蟠，黄鹄举未晚。'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='惜君青云器，努力加餐饭。\n'>]"
"[<Selector xpath='div[@class=""cont""]/p[2]/a[2]/text()' data='柳宗元'>]","[<Selector xpath='div[@class=""cont""]/p[2]/a[1]/text()' data='唐代'>]",,"[<Selector xpath='div[@class=""cont""]/p[1]/a/b/text()' data='早梅'>]","[<Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>, <Selector xpath='div[@class=""cont""]/div[@class=""contson""]/text()' data='\n'>]"
author,dynasty,label,name,poetry
周晋,宋代,,清平乐·图书一室,"
图书一室。香暖垂帘密。花满翠壶熏研席。睡觉满窗晴日。,手寒不了残棋。篝香细勘唐碑。无酒无诗情绪，欲梅欲雪天时。
"
王昌龄,唐代,,从军行七首·其四,"
青海长云暗雪山，孤城遥望玉门关。,黄沙百战穿金甲，不破楼兰终不还。
"
苏轼,宋代,,水龙吟·露寒烟冷蒹葭老,"
露寒烟冷蒹葭老，天外征鸿寥唳。银河秋晚，长门灯悄，一声初至。应念潇湘，岸遥人静，水多菰米。乍望极平田，徘徊欲下，依前被、风惊起。,须信衡阳万里，有谁家、锦书遥寄。万重云外，斜行横阵，才疏又缀。仙掌月明，石头城下，影摇寒水。念征衣未捣，佳人拂杵，有盈盈泪。
"
钱惟演,宋代,,对竹思鹤,"
瘦玉萧萧伊水头，风宜清夜露宜秋。,更教仙骥旁边立，尽是人间第一流。
"
高适,唐代,,营州歌,"
营州少年厌原野，狐裘蒙茸猎城下。,虏酒千钟不醉人，胡儿十岁能骑马。
"
佚名,先秦,,小旻,"
,
,
,
,
,
,
"
孟浩然,唐代,,田园作,"
弊庐隔尘喧，惟先养恬素。,卜邻近三径，植果盈千树。,粤余任推迁，三十犹未遇。,书剑时将晚，丘园日已暮。,晨兴自多怀，昼坐常寡悟。,冲天羡鸿鹄，争食羞鸡鹜。,望断金马门，劳歌采樵路。,乡曲无知己，朝端乏亲故。,谁能为扬雄，一荐甘泉赋。
"
苏轼,宋代,,少年游·玉肌铅粉傲秋霜,"
,
,
"
岑参,唐代,,送王大昌龄赴江宁,"
对酒寂不语，怅然悲送君。,明时未得用，白首徒攻文。,泽国从一官，沧波几千里。,群公满天阙，独去过淮水。,旧家富春渚，尝忆卧江楼。,自闻君欲行，频望南徐州。,穷巷独闭门，寒灯静深屋。,北风吹微雪，抱被肯同宿。,君行到京口，正是桃花时。,舟中饶孤兴，湖上多新诗。,潜虬且深蟠，黄鹄举未晚。,惜君青云器，努力加餐饭。
"
柳宗元,唐代,,早梅,"
,
"
author,dynasty,label,name,poetry
周晋,宋代,,清平乐·图书一室,"
图书一室。香暖垂帘密。花满翠壶熏研席。睡觉满窗晴日。,手寒不了残棋。篝香细勘唐碑。无酒无诗情绪，欲梅欲雪天时。
"
王昌龄,唐代,,从军行七首·其四,"
青海长云暗雪山，孤城遥望玉门关。,黄沙百战穿金甲，不破楼兰终不还。
"
苏轼,宋代,,水龙吟·露寒烟冷蒹葭老,"
露寒烟冷蒹葭老，天外征鸿寥唳。银河秋晚，长门灯悄，一声初至。应念潇湘，岸遥人静，水多菰米。乍望极平田，徘徊欲下，依前被、风惊起。,须信衡阳万里，有谁家、锦书遥寄。万重云外，斜行横阵，才疏又缀。仙掌月明，石头城下，影摇寒水。念征衣未捣，佳人拂杵，有盈盈泪。
"
钱惟演,宋代,,对竹思鹤,"
瘦玉萧萧伊水头，风宜清夜露宜秋。,更教仙骥旁边立，尽是人间第一流。
"
高适,唐代,,营州歌,"
营州少年厌原野，狐裘蒙茸猎城下。,虏酒千钟不醉人，胡儿十岁能骑马。
"
佚名,先秦,,小旻,"
,
,
,
,
,
,
"
孟浩然,唐代,,田园作,"
弊庐隔尘喧，惟先养恬素。,卜邻近三径，植果盈千树。,粤余任推迁，三十犹未遇。,书剑时将晚，丘园日已暮。,晨兴自多怀，昼坐常寡悟。,冲天羡鸿鹄，争食羞鸡鹜。,望断金马门，劳歌采樵路。,乡曲无知己，朝端乏亲故。,谁能为扬雄，一荐甘泉赋。
"
苏轼,宋代,,少年游·玉肌铅粉傲秋霜,"
,
,
"
岑参,唐代,,送王大昌龄赴江宁,"
对酒寂不语，怅然悲送君。,明时未得用，白首徒攻文。,泽国从一官，沧波几千里。,群公满天阙，独去过淮水。,旧家富春渚，尝忆卧江楼。,自闻君欲行，频望南徐州。,穷巷独闭门，寒灯静深屋。,北风吹微雪，抱被肯同宿。,君行到京口，正是桃花时。,舟中饶孤兴，湖上多新诗。,潜虬且深蟠，黄鹄举未晚。,惜君青云器，努力加餐饭。
"
柳宗元,唐代,,早梅,"
,
"
author,dynasty,label,name,poetry
ܽ,δ,,ƽ֡ͼһ,"
ͼһҡůܡѬϯ˯ա,ֺ˲塣ϸƱ޾ʫ÷ѩʱ
"
,ƴ,,Ӿס,"
ຣưѩɽ³ңŹء,ɳսף¥ղ
"
,δ,,ˮ¶,"
¶ϣডŵģһӦ棬ң˾ˮסէƽǻ£ǰ羪,ź˭ҡңġ⣬бк󣬲׺ʯͷ£Ӱҡˮδ˷ƣӯӯᡣ
"
ǮΩ,δ,,˼,"
ˮͷҹ¶,Ա˼һ
"
,ƴ,,Ӫݸ,"
ӪԭҰԳ¡,²ǧӲˣʮ
"
,,,СF,"
,
,
,
,
,
,
"
ϺȻ,ƴ,,԰,"
®Ωء,ڽֲӯǧ,Ǩʮδ,齣ʱ԰ĺ,Զ໳,ۺʳ߼͡,Ͻţ͸·,֪˷׹ʡ,˭ΪۣһȪ
"
,δ,,ΡǦ۰˪,"
,
,
"
᯲,ƴ,,丰,"
ԾƼŲȻ;,ʱδãͽġ,һ٣ײǧ,Ⱥڣȥˮ,ɼҸ侣Խ¥,žУƵݡ,ţƾݡ,紵΢ѩͬޡ,еڣһʱ,Ĺˣ϶ʫ,Ǳ󴣬δ,ϧŬӲͷ
"
Ԫ,ƴ,,÷,"
,
"
